
 SDLK_RETURN                 =0x0000000du  \r 
 SDLK_PIPE                   =0x0000007cu  | 
 SDLK_RIGHTBRACE             =0x0000007du  } 
 SDLK_TILDE                  =0x0000007eu  ~ 
 SDLK_DELETE                 =0x0000007fu  \x7F 
 SDLK_PLUSMINUS              =0x000000b1u  \xB1 
 SDLK_CAPSLOCK               =0x40000039u  (CAPSLOCK) 
 SDLK_F1                     =0x4000003au  (F1) 
 SDLK_F2                     =0x4000003bu  (F2) 
 SDLK_F3                     =0x4000003cu  (F3) 
 SDLK_F4                     =0x4000003du  (F4) 
 SDLK_F5                     =0x4000003eu  (F5) 
 SDLK_F6                     =0x4000003fu  (F6) 
 SDLK_F7                     =0x40000040u  (F7) 
 SDLK_F8                     =0x40000041u  (F8) 
 SDLK_F9                     =0x40000042u  (F9) 
 SDLK_F10                    =0x40000043u  (F10) 
 SDLK_F11                    =0x40000044u  (F11) 
 SDLK_F12                    =0x40000045u  (F12) 
 SDLK_PRINTSCREEN            =0x40000046u  (PRINTSCREEN) 
 SDLK_SCROLLLOCK             =0x40000047u  (SCROLLLOCK) 
 SDLK_PAUSE                  =0x40000048u  (PAUSE) 
 SDLK_INSERT                 =0x40000049u  (INSERT) 
 SDLK_HOME                   =0x4000004au  (HOME) 
 SDLK_PAGEUP                 =0x4000004bu  (PAGEUP) 
 SDLK_END                    =0x4000004du  (END) 
 SDLK_PAGEDOWN               =0x4000004eu  (PAGEDOWN) 
 SDLK_RIGHT                  =0x4000004fu  (RIGHT) 
 SDLK_LEFT                   =0x40000050u  (LEFT) 
 SDLK_DOWN                   =0x40000051u  (DOWN) 
 SDLK_UP                     =0x40000052u  (UP) 
 SDLK_NUMLOCKCLEAR           =0x40000053u  (NUMLOCKCLEAR) 
 SDLK_KP_DIVIDE              =0x40000054u  (KP_DIVIDE) 
 SDLK_KP_MULTIPLY            =0x40000055u  (KP_MULTIPLY) 
 SDLK_KP_MINUS               =0x40000056u  (KP_MINUS) 
 SDLK_KP_PLUS                =0x40000057u  (KP_PLUS) 
 SDLK_KP_ENTER               =0x40000058u  (KP_ENTER) 
 SDLK_KP_1                   =0x40000059u  (KP_1) 
 SDLK_KP_2                   =0x4000005au  (KP_2) 
 SDLK_KP_3                   =0x4000005bu  (KP_3) 
 SDLK_KP_4                   =0x4000005cu  (KP_4) 
 SDLK_KP_5                   =0x4000005du  (KP_5) 
 SDLK_KP_6                   =0x4000005eu  (KP_6) 
 SDLK_KP_7                   =0x4000005fu  (KP_7) 
 SDLK_KP_8                   =0x40000060u  (KP_8) 
 SDLK_KP_9                   =0x40000061u  (KP_9) 
 SDLK_KP_0                   =0x40000062u  (KP_0) 
 SDLK_KP_PERIOD              =0x40000063u  (KP_PERIOD) 
 SDLK_APPLICATION            =0x40000065u  (APPLICATION) 
 SDLK_POWER                  =0x40000066u  (POWER) 
 SDLK_KP_EQUALS              =0x40000067u  (KP_EQUALS) 
 SDLK_F13                    =0x40000068u  (F13) 
 SDLK_F14                    =0x40000069u  (F14) 
 SDLK_F15                    =0x4000006au  (F15) 
 SDLK_F16                    =0x4000006bu  (F16) 
 SDLK_F17                    =0x4000006cu  (F17) 
 SDLK_F18                    =0x4000006du  (F18) 
 SDLK_F19                    =0x4000006eu  (F19) 
 SDLK_F20                    =0x4000006fu  (F20) 
 SDLK_F21                    =0x40000070u  (F21) 
 SDLK_F22                    =0x40000071u  (F22) 
 SDLK_F23                    =0x40000072u  (F23) 
 SDLK_F24                    =0x40000073u  (F24) 
 SDLK_EXECUTE                =0x40000074u  (EXECUTE) 
 SDLK_HELP                   =0x40000075u  (HELP) 
 SDLK_MENU                   =0x40000076u  (MENU) 
 SDLK_SELECT                 =0x40000077u  (SELECT) 
 SDLK_STOP                   =0x40000078u  (STOP) 
 SDLK_AGAIN                  =0x40000079u  (AGAIN) 
 SDLK_UNDO                   =0x4000007au  (UNDO) 
 SDLK_CUT                    =0x4000007bu  (CUT) 
 SDLK_COPY                   =0x4000007cu  (COPY) 
 SDLK_PASTE                  =0x4000007du  (PASTE) 
 SDLK_FIND                   =0x4000007eu  (FIND) 
 SDLK_MUTE                   =0x4000007fu  (MUTE) 
 SDLK_VOLUMEUP               =0x40000080u  (VOLUMEUP) 
 SDLK_VOLUMEDOWN             =0x40000081u  (VOLUMEDOWN) 
 SDLK_KP_COMMA               =0x40000085u  (KP_COMMA) 
 SDLK_KP_EQUALSAS400         =0x40000086u  (KP_EQUALSAS400) 
 SDLK_ALTERASE               =0x40000099u  (ALTERASE) 
 SDLK_SYSREQ                 =0x4000009au  (SYSREQ) 
 SDLK_CANCEL                 =0x4000009bu  (CANCEL) 
 SDLK_CLEAR                  =0x4000009cu  (CLEAR) 
 SDLK_PRIOR                  =0x4000009du  (PRIOR) 
 SDLK_RETURN2                =0x4000009eu  (RETURN2) 
 SDLK_SEPARATOR              =0x4000009fu  (SEPARATOR) 
 SDLK_OUT                    =0x400000a0u  (OUT) 
 SDLK_OPER                   =0x400000a1u  (OPER) 
 SDLK_CLEARAGAIN             =0x400000a2u  (CLEARAGAIN) 
 SDLK_CRSEL                  =0x400000a3u  (CRSEL) 
 SDLK_EXSEL                  =0x400000a4u  (EXSEL) 
 SDLK_KP_00                  =0x400000b0u  (KP_00) 
 SDLK_KP_000                 =0x400000b1u  (KP_000) 
 SDLK_THOUSANDSSEPARATOR     =0x400000b2u  (THOUSANDSSEPARATOR) 
 SDLK_DECIMALSEPARATOR       =0x400000b3u  (DECIMALSEPARATOR) 
 SDLK_CURRENCYUNIT           =0x400000b4u  (CURRENCYUNIT) 
 SDLK_CURRENCYSUBUNIT        =0x400000b5u  (CURRENCYSUBUNIT) 
 SDLK_KP_LEFTPAREN           =0x400000b6u  (KP_LEFTPAREN) 
 SDLK_KP_RIGHTPAREN          =0x400000b7u  (KP_RIGHTPAREN) 
 SDLK_KP_LEFTBRACE           =0x400000b8u  (KP_LEFTBRACE) 
 SDLK_KP_RIGHTBRACE          =0x400000b9u  (KP_RIGHTBRACE) 
 SDLK_KP_TAB                 =0x400000bau  (KP_TAB) 
 SDLK_KP_BACKSPACE           =0x400000bbu  (KP_BACKSPACE) 
 SDLK_KP_A                   =0x400000bcu  (KP_A) 
 SDLK_KP_B                   =0x400000bdu  (KP_B) 
 SDLK_KP_C                   =0x400000beu  (KP_C) 
 SDLK_KP_D                   =0x400000bfu  (KP_D) 
 SDLK_KP_E                   =0x400000c0u  (KP_E) 
 SDLK_KP_F                   =0x400000c1u  (KP_F) 
 SDLK_KP_XOR                 =0x400000c2u  (KP_XOR) 
 SDLK_KP_POWER               =0x400000c3u  (KP_POWER) 
 SDLK_KP_PERCENT             =0x400000c4u  (KP_PERCENT) 
 SDLK_KP_LESS                =0x400000c5u  (KP_LESS) 
 SDLK_KP_GREATER             =0x400000c6u  (KP_GREATER) 
 SDLK_KP_AMPERSAND           =0x400000c7u  (KP_AMPERSAND) 
 SDLK_KP_DBLAMPERSAND        =0x400000c8u  (KP_DBLAMPERSAND) 
 SDLK_KP_VERTICALBAR         =0x400000c9u  (KP_VERTICALBAR) 
 SDLK_KP_DBLVERTICALBAR      =0x400000cau  (KP_DBLVERTICALBAR) 
 SDLK_KP_COLON               =0x400000cbu  (KP_COLON) 
 SDLK_KP_HASH                =0x400000ccu  (KP_HASH) 
 SDLK_KP_SPACE               =0x400000cdu  (KP_SPACE) 
 SDLK_KP_AT                  =0x400000ceu  (KP_AT) 
 SDLK_KP_EXCLAM              =0x400000cfu  (KP_EXCLAM) 
 SDLK_KP_MEMSTORE            =0x400000d0u  (KP_MEMSTORE) 
 SDLK_KP_MEMRECALL           =0x400000d1u  (KP_MEMRECALL) 
 SDLK_KP_MEMCLEAR            =0x400000d2u  (KP_MEMCLEAR) 
 SDLK_KP_MEMADD              =0x400000d3u  (KP_MEMADD) 
 SDLK_KP_MEMSUBTRACT         =0x400000d4u  (KP_MEMSUBTRACT) 
 SDLK_KP_MEMMULTIPLY         =0x400000d5u  (KP_MEMMULTIPLY) 
 SDLK_KP_MEMDIVIDE           =0x400000d6u  (KP_MEMDIVIDE) 
 SDLK_KP_PLUSMINUS           =0x400000d7u  (KP_PLUSMINUS) 
 SDLK_KP_CLEAR               =0x400000d8u  (KP_CLEAR) 
 SDLK_KP_CLEARENTRY          =0x400000d9u  (KP_CLEARENTRY) 
 SDLK_KP_BINARY              =0x400000dau  (KP_BINARY) 
 SDLK_KP_OCTAL               =0x400000dbu  (KP_OCTAL) 
 SDLK_KP_DECIMAL             =0x400000dcu  (KP_DECIMAL) 
 SDLK_KP_HEXADECIMAL         =0x400000ddu  (KP_HEXADECIMAL) 
 SDLK_LCTRL                  =0x400000e0u  (LCTRL) 
 SDLK_LSHIFT                 =0x400000e1u  (LSHIFT) 
 SDLK_LALT                   =0x400000e2u  (LALT) 
 SDLK_LGUI                   =0x400000e3u  (LGUI) 
 SDLK_RCTRL                  =0x400000e4u  (RCTRL) 
 SDLK_RSHIFT                 =0x400000e5u  (RSHIFT) 
 SDLK_RALT                   =0x400000e6u  (RALT) 
 SDLK_RGUI                   =0x400000e7u  (RGUI) 
 SDLK_MODE                   =0x40000101u  (MODE) 
 SDLK_SLEEP                  =0x40000102u  (SLEEP) 
 SDLK_WAKE                   =0x40000103u  (WAKE) 
 SDLK_CHANNEL_INCREMENT      =0x40000104u  (CHANNEL_INCREMENT) 
 SDLK_CHANNEL_DECREMENT      =0x40000105u  (CHANNEL_DECREMENT) 
 SDLK_MEDIA_PLAY             =0x40000106u  (MEDIA_PLAY) 
 SDLK_MEDIA_PAUSE            =0x40000107u  (MEDIA_PAUSE) 
 SDLK_MEDIA_RECORD           =0x40000108u  (MEDIA_RECORD) 
 SDLK_MEDIA_FAST_FORWARD     =0x40000109u  (MEDIA_FAST_FORWARD) 
 SDLK_MEDIA_REWIND           =0x4000010au  (MEDIA_REWIND) 
 SDLK_MEDIA_NEXT_TRACK       =0x4000010bu  (MEDIA_NEXT_TRACK) 
 SDLK_MEDIA_PREVIOUS_TRACK   =0x4000010cu  (MEDIA_PREVIOUS_TRACK) 
 SDLK_MEDIA_STOP             =0x4000010du  (MEDIA_STOP) 
 SDLK_MEDIA_EJECT            =0x4000010eu  (MEDIA_EJECT) 
 SDLK_MEDIA_PLAY_PAUSE       =0x4000010fu  (MEDIA_PLAY_PAUSE) 
 SDLK_MEDIA_SELECT           =0x40000110u  (MEDIA_SELECT) 
 SDLK_AC_NEW                 =0x40000111u  (AC_NEW) 
 SDLK_AC_OPEN                =0x40000112u  (AC_OPEN) 
 SDLK_AC_CLOSE               =0x40000113u  (AC_CLOSE) 
 SDLK_AC_EXIT                =0x40000114u  (AC_EXIT) 
 SDLK_AC_SAVE                =0x40000115u  (AC_SAVE) 
 SDLK_AC_PRINT               =0x40000116u  (AC_PRINT) 
 SDLK_AC_PROPERTIES          =0x40000117u  (AC_PROPERTIES) 
 SDLK_AC_SEARCH              =0x40000118u  (AC_SEARCH) 
 SDLK_AC_HOME                =0x40000119u  (AC_HOME) 
 SDLK_AC_BACK                =0x4000011au  (AC_BACK) 
 SDLK_AC_FORWARD             =0x4000011bu  (AC_FORWARD) 
 SDLK_AC_STOP                =0x4000011cu  (AC_STOP) 
 SDLK_AC_REFRESH             =0x4000011du  (AC_REFRESH) 
 SDLK_AC_BOOKMARKS           =0x4000011eu  (AC_BOOKMARKS) 
 SDLK_SOFTLEFT               =0x4000011fu  (SOFTLEFT) 
 SDLK_SOFTRIGHT              =0x40000120u  (SOFTRIGHT) 
 SDLK_CALL                   =0x40000121u  (CALL) 
 SDLK_ENDCALL                =0x40000122u  (ENDCALL) 
 SDLK_LEFT_TAB               =0x20000001u  Extended key Left Tab 
 SDLK_LEVEL5_SHIFT           =0x20000002u  Extended key Level 5 Shift 
 SDLK_MULTI_KEY_COMPOSE      =0x20000003u  Extended key Multi-key Compose 
 SDLK_LMETA                  =0x20000004u  Extended key Left Meta 
 SDLK_RMETA                  =0x20000005u  Extended key Right Meta 
 SDLK_LHYPER                 =0x20000006u  Extended key Left Hyper 
 SDLK_RHYPER                 =0x20000007u  Extended key Right Hyper 
